brand,model,price,km,year,status,licensePlate,transmission,fuel,cylinderCapacity,color,link,site
Nissan,Nissan Kicks Advance Wag At 4x2 2020 - 1600cc,89900000,Camioneta,2020,usado,,Automática,Gasolina,4,naranja,https://articulotucarrocomco/MCO-847748199-nissan-kicks-advance-wag-at-4x2-2020-1600cc-_JM#position=44&search_layout=grid&type=item&tracking_id=ef12726c-542f-460a-8282-be8a7096f985,tu-carro
Nissan,Nissan Kicks 16 Exclusive,84000000,16,2020,usado,,Automática,Gasolina,5,rojo,https://articulotucarrocomco/MCO-845600766-nissan-kicks-2020-_JM#position=19&search_layout=grid&type=item&tracking_id=53c0156a-f72b-467a-b0d4-3ccbc281e311,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75600000,43000 ,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-841475907-nissan-kicks-16-exclusive-_JM#position=47&search_layout=grid&type=item&tracking_id=53c0156a-f72b-467a-b0d4-3ccbc281e311,tu-carro
Nissan,Nissan Kicks 16 Advance,77900000,16,2020,usado,,Mecánica,Gasolina,5,plateado,https://articulotucarrocomco/MCO-848183151-nissan-kicks-advance-16-mt-_JM#position=3&search_layout=grid&type=item&tracking_id=6cc578cb-5872-4808-89e3-27808cc6fa8c,tu-carro
Nissan,Nissan Kicks 16 Advance,74000000,16,2020,usado,,Mecánica,Gasolina,5,azul,https://articulotucarrocomco/MCO-836022220-nissan-kicks-_JM#position=38&search_layout=grid&type=item&tracking_id=6cc578cb-5872-4808-89e3-27808cc6fa8c,tu-carro
Nissan,Nissan Kicks Modelo 2019 Id 41513,74900000,1598,2019,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-849175574-nissan-kicks-modelo-2019-id-41513-_JM#position=47&search_layout=grid&type=item&tracking_id=6cc578cb-5872-4808-89e3-27808cc6fa8c,tu-carro
Nissan,Nissan Kicks 16 Advance,68000000,16,2019,usado,,Automática,Gasolina,5,azul,https://articulotucarrocomco/MCO-848383907-nissan-kicks-2019-16-advance-_JM#position=19&search_layout=grid&type=item&tracking_id=8a9d10d1-ecc4-4541-96cb-332846426477,tu-carro
Nissan,Nissan Kicks 16 Sense,65000000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-846595481-nissan-kicks-2019-16-sense-_JM#position=41&search_layout=grid&type=item&tracking_id=8a9d10d1-ecc4-4541-96cb-332846426477,tu-carro
Nissan,Nissan Kicks 16 Sense,70000000,16,2020,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-843611268-nissan-kicks-_JM#position=34&search_layout=grid&type=item&tracking_id=4da86e39-fc75-45a7-b29d-113a52448d05,tu-carro
Nissan,Nissan Kicks 16 Advance,64000000,16,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-836602889-nissan-kicks-_JM#position=13&search_layout=grid&type=item&tracking_id=d70e50df-dd13-4b96-8443-907840107e66,tu-carro
Nissan,Nissan Kicks 16 Sense,64000000,1600,2018,usado,,Mecánica,Gasolina,5,gris,https://articulotucarrocomco/MCO-848347549-nissan-kicks-16-advance-_JM#position=2&search_layout=grid&type=item&tracking_id=c9ea9778-4041-4fe9-9258-ddff69cf6f60,tu-carro
Nissan,Nissan Kicks 16 Exclusive,75400000,Camioneta,2019,usado,,16,5,Automática,gasolina,https://articulotucarrocomco/MCO-622295780-nissan-kicks-2019-16-exclusive-_JM#position=15&search_layout=grid&type=item&tracking_id=c9ea9778-4041-4fe9-9258-ddff69cf6f60,tu-carro
Nissan,Nissan Kicks 16 Advance,63000000,1600,2018,usado,,Automática,Gasolina,5,gris,https://articulotucarrocomco/MCO-843591891-nissan-kicks-16-advance-_JM#position=33&search_layout=grid&type=item&tracking_id=c9ea9778-4041-4fe9-9258-ddff69cf6f60,tu-carro
 Kicks ,Advance,58000000,26000 ,2018,usado,,manual 5 velocidades,Gasolina,1598 cc,,https://wwwautocosmoscomco/auto/usado/nissan/kicks/advance/3bad4da09cfe42c59a62be7673cf382b,autocosmos
